date,pacitan,nawangan,kebonagung,bandar,tegalombo,tulakan,p_das,pe,q_runoff,q_baseflow,q_total
2014-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-04,0.0,2.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-11,0.0,50.0,0.0,0.0,0.0,0.0,8.3333,0.0,0.0,3.92918,3.92918
2014-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-18,5.0,120.0,41.0,0.0,48.0,16.0,38.3333,7.37174,59.724747,3.92918,63.653927
2014-06-19,14.0,0.0,16.0,9.0,20.0,12.0,11.8333,0.0,0.0,3.92918,3.92918
2014-06-20,1.0,1.0,8.0,0.0,10.0,13.0,5.5,0.0,0.0,3.92918,3.92918
2014-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-22,2.0,4.0,1.0,0.0,0.0,0.0,1.1667,0.0,0.0,3.92918,3.92918
2014-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-25,18.0,31.0,103.0,0.0,10.0,46.0,34.6667,5.645879,45.742074,3.92918,49.671254
